transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
T000745,C0139,P020,2025-01-02,9,484.71,4362.36
T000509,C0122,P044,2025-01-02,5,198.08,990.4
T000532,C0105,P043,2025-01-03,5,414.72,2073.61
T000236,C0047,P003,2025-01-03,2,318.78,637.57
T000357,C0025,P045,2025-01-04,6,334.63,2007.76
T000144,C0154,P041,2025-01-06,6,6.71,40.26
T000036,C0019,P001,2025-01-06,9,479.71,4317.38
T000003,C0093,P017,2025-01-07,2,221.06,442.13
T000422,C0183,P042,2025-01-07,1,33.2,33.2
T000258,C0141,P025,2025-01-07,2,383.29,766.58
T000757,C0192,P021,2025-01-08,8,499.55,3996.37
T000005,C0070,P030,2025-01-08,9,234.59,2111.32
T000024,C0083,P007,2025-01-08,6,484.59,2907.52
T000887,C0164,P041,2025-01-09,9,130.03,1170.27
T000944,C0188,P002,2025-01-09,5,225.48,1127.4
T000116,C0129,P043,2025-01-10,6,102.55,615.29
T000243,C0096,P029,2025-01-11,8,143.77,1150.15
T000317,C0194,P013,2025-01-11,5,280.16,1400.78
T000070,C0100,P033,2025-01-11,9,358.54,3226.86
T000048,C0051,P045,2025-01-11,4,185.14,740.56
T000860,C0143,P031,2025-01-12,2,91.41,182.81
T000688,C0135,P032,2025-01-12,1,93.92,93.92
T000750,C0165,P017,2025-01-13,2,440.12,880.23
T000581,C0089,P035,2025-01-13,7,489.06,3423.43
T000136,C0090,P038,2025-01-13,4,363.06,1452.25
T000664,C0120,P001,2025-01-13,4,458.47,1833.89
T000351,C0193,P005,2025-01-14,2,181.61,363.22
T000356,C0056,P025,2025-01-14,3,493.12,1479.35
T000493,C0039,P015,2025-01-14,9,483.3,4349.72
T000719,C0119,P023,2025-01-14,9,233.84,2104.6
T000138,C0162,P030,2025-01-14,8,36.92,295.35
T000550,C0010,P001,2025-01-14,2,223.76,447.53
T000370,C0039,P033,2025-01-15,7,292.62,2048.35
T000087,C0137,P009,2025-01-15,1,444.6,444.6
T000614,C0100,P020,2025-01-16,3,457.6,1372.81
T000268,C0095,P007,2025-01-16,2,176.35,352.71
T000822,C0151,P039,2025-01-16,6,442.98,2657.89
T000706,C0096,P004,2025-01-17,8,279.76,2238.05
T000594,C0059,P022,2025-01-17,1,173.26,173.26
T000979,C0170,P012,2025-01-17,4,185.84,743.36
T000718,C0135,P015,2025-01-17,8,196.48,1571.83
T000796,C0155,P005,2025-01-18,3,406.92,1220.77
T000637,C0003,P012,2025-01-18,8,325.74,2605.95
T000813,C0039,P041,2025-01-19,1,223.2,223.2
T000927,C0125,P012,2025-01-19,1,282.93,282.93
T000077,C0074,P016,2025-01-20,5,89.69,448.46
T000188,C0102,P027,2025-01-20,9,35.16,316.46
T000965,C0179,P039,2025-01-20,4,17.74,70.97
T000667,C0197,P013,2025-01-21,9,382.24,3440.18
T000777,C0134,P029,2025-01-21,7,60.16,421.09
T000787,C0175,P042,2025-01-22,4,437.53,1750.14
T000856,C0119,P037,2025-01-22,2,302.76,605.52
T000083,C0024,P011,2025-01-23,1,371.28,371.28
T000823,C0026,P004,2025-01-23,5,494.0,2470.02
T000683,C0033,P027,2025-01-23,3,26.58,79.74
T000229,C0048,P021,2025-01-24,6,87.55,525.29
T000888,C0135,P014,2025-01-24,7,403.55,2824.87
T000377,C0088,P044,2025-01-24,3,390.83,1172.48
T000776,C0155,P045,2025-01-24,2,229.51,459.02
T000469,C0019,P038,2025-01-24,8,404.27,3234.13
T000421,C0131,P022,2025-01-25,6,179.63,1077.77
T000037,C0167,P018,2025-01-25,9,230.32,2072.86
T000541,C0196,P023,2025-01-26,6,323.06,1938.36
T000214,C0017,P006,2025-01-26,8,76.47,611.78
T000328,C0046,P044,2025-01-26,8,359.95,2879.58
T000218,C0069,P015,2025-01-26,2,440.98,881.96
T000840,C0030,P038,2025-01-27,8,268.44,2147.48
T000279,C0075,P021,2025-01-27,6,443.16,2658.93
T000446,C0139,P044,2025-01-27,6,421.45,2528.67
T000590,C0094,P006,2025-01-27,1,67.14,67.14
T000963,C0061,P034,2025-01-28,3,398.11,1194.32
T000103,C0020,P004,2025-01-28,5,371.27,1856.37
T000372,C0163,P035,2025-01-28,4,188.23,752.93
T000875,C0130,P021,2025-01-28,5,368.13,1840.64
T000728,C0051,P007,2025-01-29,5,430.58,2152.88
T000085,C0063,P020,2025-01-29,6,312.42,1874.5
T000644,C0009,P011,2025-01-29,2,471.32,942.64
T000154,C0081,P037,2025-01-30,5,88.06,440.3
T000710,C0088,P011,2025-01-30,3,341.17,1023.5
T000726,C0161,P008,2025-01-30,6,354.74,2128.47
T000585,C0110,P026,2025-01-31,4,299.5,1197.98
T000433,C0029,P045,2025-01-31,9,254.78,2293.0
T000808,C0185,P026,2025-01-31,1,190.16,190.16
T000456,C0142,P022,2025-01-31,9,202.82,1825.38
T000488,C0117,P031,2025-01-31,8,326.34,2610.74
T000167,C0061,P029,2025-01-31,4,325.06,1300.24
T000249,C0062,P020,2025-02-01,5,80.38,401.92
T000175,C0155,P023,2025-02-01,9,406.64,3659.72
T000626,C0045,P007,2025-02-01,2,163.72,327.43
T000168,C0183,P036,2025-02-02,2,390.43,780.86
T000227,C0025,P025,2025-02-02,1,157.81,157.81
T000969,C0052,P036,2025-02-03,9,159.64,1436.72
T000018,C0095,P038,2025-02-03,1,455.69,455.69
T000187,C0194,P009,2025-02-03,1,484.95,484.95
T000054,C0086,P016,2025-02-03,8,192.91,1543.28
T000001,C0097,P027,2025-02-03,2,483.44,966.88
T000562,C0198,P019,2025-02-03,4,29.48,117.91
T000278,C0133,P012,2025-02-04,4,180.42,721.69
T000756,C0078,P015,2025-02-04,9,278.64,2507.72
T000174,C0083,P024,2025-02-05,4,170.41,681.65
T000700,C0011,P032,2025-02-06,8,165.08,1320.64
