customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,recency_label,frequency_label,monetary_label
CUST_0001,43,9,669.56,2,2,1,221,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0002,70,9,1175.27,1,2,3,123,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0003,21,6,861.69,3,1,2,312,متوسط,حديث,متوسط,مرتفع
CUST_0004,0,12,1362.17,4,3,4,434,VIP,حديث,كثير,مرتفع جداً
CUST_0005,14,6,737.91,4,1,2,412,متوسط,حديث,متوسط,مرتفع
CUST_0006,1,11,1036.6299999999999,4,3,2,432,نشط,حديث,كثير,مرتفع جداً
CUST_0007,40,12,1926.73,2,3,4,234,مخلص,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0008,46,10,1058.09,2,2,3,223,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0009,35,11,1114.3700000000001,2,3,3,233,مخلص,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0010,11,13,1373.73,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0011,8,10,1140.8,4,2,3,423,نشط,حديث,كثير,مرتفع جداً
CUST_0012,129,8,846.95,1,1,2,112,خطر,3-6 شهور,كثير,مرتفع
CUST_0013,82,7,590.05,1,1,1,111,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0014,17,12,1322.7,3,3,4,334,VIP,حديث,كثير,مرتفع جداً
CUST_0015,67,9,892.39,1,2,2,122,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0016,4,10,1201.27,4,2,3,423,نشط,حديث,كثير,مرتفع جداً
CUST_0017,117,11,1289.95,1,3,4,134,مخلص,3-6 شهور,كثير,مرتفع جداً
CUST_0018,130,5,309.34,1,1,1,111,خطر,3-6 شهور,متوسط,متوسط
CUST_0019,12,4,211.28999999999996,4,1,1,411,متوسط,حديث,متوسط,متوسط
CUST_0020,3,11,1396.23,4,3,4,434,VIP,حديث,كثير,مرتفع جداً
CUST_0021,7,11,971.61,4,3,2,432,نشط,حديث,كثير,مرتفع
CUST_0022,35,7,821.97,2,1,2,212,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0023,13,9,715.27,4,2,2,422,نشط,حديث,كثير,مرتفع
CUST_0024,22,7,623.4300000000001,3,1,1,311,متوسط,حديث,كثير,مرتفع
CUST_0025,43,13,1088.29,2,4,3,243,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0026,7,7,1030.75,4,1,2,412,متوسط,حديث,كثير,مرتفع جداً
CUST_0027,182,8,549.04,1,1,1,111,خطر,أكثر من 6 شهور,كثير,مرتفع
CUST_0028,35,12,1342.66,2,3,4,234,مخلص,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0029,33,12,994.38,2,3,2,232,مخلص,أقل من 3 شهور,كثير,مرتفع
CUST_0030,66,9,1045.04,1,2,3,123,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0031,14,13,1481.4099999999999,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0032,62,18,2328.7799999999997,1,4,4,144,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0033,173,8,693.61,1,1,1,111,خطر,3-6 شهور,كثير,مرتفع
CUST_0034,3,15,1848.42,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0035,24,11,1167.45,3,3,3,333,VIP,حديث,كثير,مرتفع جداً
CUST_0036,13,14,1439.47,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0037,50,13,1284.8899999999999,1,4,4,144,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0038,19,6,445.78999999999996,3,1,1,311,متوسط,حديث,متوسط,متوسط
CUST_0039,25,12,1334.98,3,3,4,334,VIP,حديث,كثير,مرتفع جداً
CUST_0040,32,12,987.11,2,3,2,232,مخلص,أقل من 3 شهور,كثير,مرتفع
CUST_0041,35,10,887.02,2,2,2,222,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0042,73,9,805.6800000000001,1,2,2,122,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0043,8,12,1539.18,4,3,4,434,VIP,حديث,كثير,مرتفع جداً
CUST_0044,7,9,1080.33,4,2,3,423,نشط,حديث,كثير,مرتفع جداً
CUST_0045,31,8,671.14,2,1,1,211,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0046,32,6,651.72,2,1,1,211,خطر,أقل من 3 شهور,متوسط,مرتفع
CUST_0047,113,5,299.01,1,1,1,111,خطر,3-6 شهور,متوسط,متوسط
CUST_0048,129,6,450.31,1,1,1,111,خطر,3-6 شهور,متوسط,متوسط
CUST_0049,26,9,1163.88,3,2,3,323,نشط,حديث,كثير,مرتفع جداً
